source,target
C00008318,SIRT1
C00008318,SOD2
C00003521,APP
C00003521,NRP1
C00003521,JAK2
C00003521,GLP1R
C00003521,GNAS
C00003521,ATF6
C00003521,UBA2
C00003521,PADI4
C00003521,CTNNB1
C00003521,PTPN22
C00003521,PRKCA
C00003521,EPAS1
C00003521,UBE2I
C00003521,RAPGEF3
C00003521,STAT1
C00003521,EIF2AK3
C00003521,OXTR
C00003521,PRKACB
C00003521,GAPDH
C00003521,ALPL
C00003521,GPR35
C00003521,IL1B
C00003521,AVPR1A
C00003521,PPARG
C00003521,PABPC1
C00003521,NCOA2
C00003521,GNAI1
C00003521,RAPGEF4
C00003521,SENP6
C00003521,TP53
C00003521,MAP3K3
C00003521,NCOA1
C00003521,NFKB1
C00003521,HDAC3
C00003521,JUN
C00003521,AKT1
C00003521,PRMT6
C00003521,HMGA2
C00003521,NKX2-5
C00003521,IVL
C00011153,APP
C00011153,NRP1
C00011153,JAK2
C00011153,GLP1R
C00011153,GNAS
C00011153,CCND1
C00011153,ATF6
C00011153,HSPA8
C00011153,NR3C1
C00011153,UBA2
C00011153,SRC
C00011153,PADI4
C00011153,IGF1R
C00011153,PTPN22
C00011153,EPAS1
C00011153,INSR
C00011153,EGFR
C00011153,UBE2I
C00011153,RAPGEF3
C00011153,STAT1
C00011153,EIF2AK3
C00011153,KDR
C00011153,SMAD3
C00011153,OXTR
C00011153,PRKACB
C00011153,GAPDH
C00011153,ALPL
C00011153,GPR35
C00011153,IL1B
C00011153,AVPR1A
C00011153,PABPC1
C00011153,PPARG
C00011153,NCOR2
C00011153,GNAI1
C00011153,RAPGEF4
C00011153,TP53
C00011153,MTOR
C00011153,MAPK1
C00011153,MAP3K3
C00011153,NCOA1
C00011153,NFKB1
C00011153,HDAC3
C00011153,JUN
C00011153,AKT1
C00011153,CSNK2A1
C00011153,PPARA
C00011153,LEP
C00011153,ADIPOQ
C00011153,TNF
C00011153,CCL11
C00002460,APP
C00002460,LCK
C00002460,NRP1
C00002460,JAK2
C00002460,GLP1R
C00002460,GNAS
C00002460,MYC
C00002460,ATF6
C00002460,UBA2
C00002460,NR3C1
C00002460,PADI4
C00002460,CTNNB1
C00002460,PTPN22
C00002460,FLT1
C00002460,TNF
C00002460,MAPK14
C00002460,PRKCA
C00002460,EPAS1
C00002460,UBE2I
C00002460,EGFR
C00002460,CCR5
C00002460,RAPGEF3
C00002460,STAT1
C00002460,EIF2AK3
C00002460,ADRA2A
C00002460,MAOA
C00002460,FYN
C00002460,CALCR
C00002460,OXTR
C00002460,PRKACB
C00002460,MMP9
C00002460,GAPDH
C00002460,ALPL
C00002460,PPARA
