source,target
LIPF,CLPS
CEL,CLPS
PNLIP,LPL
PNPLA2,LIPG
PPAP2C,LIPC
LIPF,MOGAT3
PNPLA2,MGLL
LIPC,LIPG
PNLIP,PPAP2C
PPAP2C,LPL
LIPF,LIPG
LIPF,PNPLA2
CEL,PNPLA2
LIPF,LPL
CEL,LIPG
PPAP2C,MOGAT3
CEL,LPL
LPL,LIPG
CEL,MOGAT3
LPL,LIPC
LIPF,PPAP2C
PPAP2C,LIPG
PNLIP,LIPG
PNPLA2,LIPC
LIPG,MOGAT3
PNLIP,PNPLA2
LIPC,MOGAT3
PNPLA2,MOGAT3
LPL,MGLL
MGLL,LIPG
PNLIP,MOGAT3
PNPLA2,LPL
PNLIP,CLPS
PNPLA2,PPAP2C
CEL,PPAP2C
AGMO,MTNR1B
GLIS3,C2CD4B
C2CD4B,AGMO
MEF2A,MEF2C
GLIS3,MEF2A
GLIS3,SLC1A1
DGKB,C2CD4B
DGKB,MTNR1B
DGKB,GLIS3
GLIS3,AGMO
GLIS3,NEUROG3
GLIS3,MEF2D
DGKB,AGMO
GLIS3,SUFU
GLIS3,MTNR1B
MEF2C,MEF2D
GLIS3,MEF2C
MEF2A,MEF2D
C2CD4B,MTNR1B
KCNJ11,WFS1
SLC30A8,KIF11
IGF2BP2,KIF11
FTO,WFS1
TCF7L2,KCNJ11
SLC30A8,HHEX
MTNR1B,WFS1
KCNJ11,MTNR1B
HHEX,CDKAL1
IGF2BP2,MTNR1B
TCF7L2,CDKAL1
TCF7L2,IGF2BP2
SLC30A8,IGF2BP2
IGF2BP2,KCNJ11
SLC30A8,SLC30A6
KCNJ11,HHEX
CDKAL1,WFS1
TCF7L2,WFS1
FTO,SLC30A8
TCF7L2,FTO
IGF2BP2,WFS1
FTO,MTNR1B
IGF2BP2,CDKAL1
SLC30A8,MTNR1B
SLC30A8,KCNJ11
SLC30A8,WFS1
CDKAL1,KIF11
TCF7L2,HHEX
HHEX,WFS1
SLC30A8,CDKAL1
FTO,HHEX
FTO,CDKAL1
TCF7L2,MTNR1B
HHEX,MTNR1B
FTO,IGF2BP2
KCNJ11,CDKAL1
HHEX,KIF11
IGF2BP2,HHEX
TCF7L2,SLC30A8
CDKAL1,MTNR1B
TCF7L2,KIF11
FTO,KCNJ11
MAPK11,EGFR
BCAR1,BLK
BLK,MAPK14
EGFR,MAPK14
CD79B,CD79A
BCAR1,STAT3
STAT3,BLK
STAT3,CBL
EGFR,CBL
PLCG2,BLK
PLCG2,CBL
BLK,CD79A
CD79B,CBL
MAPK11,BLK
BCAR1,CBL
MAPK11,MAPK14
NGEF,BLK
EGFR,BLK
MAPK11,STAT3
EGFR,STAT3
CBL,MAPK14
CD79B,BLK
STAT3,MAPK14
PLCG2,CD79A
BCAR1,EGFR
CBL,BLK
CBL,CD79A
CD79B,PLCG2
PLCG2,EGFR
NEUROD1,ISL1
PAX4,INS
PAX4,NXNL1
BTC,PAX4
NEUROG3,ISL1
NKX2-2,ISL1
SLC2A2,ISL1
NKX2-2,SLC2A2
NEUROD1,NEUROG3
PAX4,NEUROD1
INS,NEUROG3
PAX4,ISL1
PAX4,NEUROG3
GCG,ISL1
NKX2-2,INS
SLC2A2,NEUROD1
GCG,PAX4
SLC2A2,INS
NKX2-2,NEUROD1
SLC2A2,NEUROG3
GCG,SLC2A2
GCG,BTC
GCG,NEUROD1
BTC,NEUROD1
PAX4,SLC2A2
NKX2-2,NEUROG3
FKBP11,PAX4
GCG,NKX2-2
BTC,NEUROG3
INS,ISL1
BTC,INS
GCG,NEUROG3
BTC,SLC2A2
BTC,ISL1
NKX2-2,PAX4
STAT5B,KITLG
JAK2,SOCS3
HIF1A,SIRT1
STAT5A,KITLG
KITLG,EPOR
EPO,SIRT1
STAT5A,EPO
JAK1,EPO
JAK2,EPOR
HIF1A,STAT5B
EPO,KITLG
HIF1A,EPOR
STAT5A,STAT5B
SOCS3,EPOR
EPO,EPOR
EPAS1,EPO
STAT5B,EPO
SOCS3,STAT5B
JAK2,EPO
